食品名,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物(単糖当量) g,炭水化物(質量計) g,食物繊維総量 g,食塩相当量 g
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　つぶしあん,323,-6,-15.7,-43,-40,-3.6,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　こしあん,384,-6.5,-21.3,-46.2,-42.9,-3.3,-0.3
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　つぶしあん,387,-6.6,-22,-44.9,-41.7,-4.2,-0.4
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　カスタードクリーム,304,-5.8,-19.3,-31.3,-29,-1.4,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　カスタードクリーム,417,-7.3,-29.6,-36.3,-33.5,-2.1,-0.5
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　プレーン,379,-7.2,-20.2,-45.2,-33.2,-1.5,-0.8
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　こしあん,341,-6.8,-12.6,-53.7,-44.8,-2.6,-0.5
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　つぶしあん,341,-7,-13,-52.6,-43.7,-3.4,-0.6
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　カスタードクリーム,371,-7.7,-18.9,-46.1,-36.3,-1.2,-0.6
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　プレーン,367,-7.2,-11.7,-63.4,-58.7,-1.2,-0.4
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　こしあん,353,-8.3,-5.4,-66.4,-62.2,-2.4,-0.3
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　つぶしあん,355,-8.6,-5.7,-65.4,-61.3,-3.4,-0.3
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　カスタードクリーム,375,-9.6,-10.5,-59.6,-55.8,-0.7,-0.4
＜ケーキ・ペストリー類＞　パイ　パイ皮,373,-5,-25.4,-38,-34.5,-1.3,-1
＜ケーキ・ペストリー類＞　パイ　アップルパイ,294,-4,-17.5,-39.5,-36.9,-1.2,-0.4
＜ケーキ・ペストリー類＞　パイ　ミートパイ,381,-9.7,-29.9,-31.8,-29,-1.8,-1.1
＜ケーキ・ペストリー類＞　バターケーキ,422,-5.8,-25.3,-50.8,-47.4,-0.7,-0.6
＜ケーキ・ペストリー類＞　ホットケーキ,253,-7.7,-5.4,-47.4,-43.8,-1.1,-0.7
＜ケーキ・ペストリー類＞　ワッフル　カスタードクリーム入り,241,-7.3,-7.9,-40,-37,-0.8,-0.2
＜ケーキ・ペストリー類＞　ワッフル　ジャム入り,279,-4.9,-4.2,-59.6,-55.9,-1.3,-0.1
＜デザート菓子類＞　カスタードプリン,116,-5.7,-5.5,-14.5,-13.8,0,-0.2
＜デザート菓子類＞　牛乳寒天,61,-1.1,-1.3,-12.1,-11.6,-0.5,0
＜デザート菓子類＞　こんにゃくゼリー,65,0,-0.1,11.6,11.5,-0.8,-0.1
＜デザート菓子類＞　ゼリー　オレンジ,80,-2.1,-0.1,-18.4,-17.8,-0.2,0
＜デザート菓子類＞　ゼリー　コーヒー,43,-1.6,0,-10.1,-9.6,0,0
＜デザート菓子類＞　ゼリー　ミルク,103,-4.3,-3.7,-14.8,-14.1,0,-0.1
＜デザート菓子類＞　ゼリー　ワイン,65,-1.7,0,-13.7,-13.1,0,0
＜デザート菓子類＞　ババロア,204,-5.6,-12.9,-20.8,-19.9,0,-0.1
＜ビスケット類＞　ウエハース,439,7.6,13.6,-80.1,-74.5,1.2,1.2
＜ビスケット類＞　ウエハース　クリーム入り,492,-7.5,-21.8,-72.9,-68.1,-2.1,-0.9
＜ビスケット類＞　クラッカー　オイルスプレークラッカー,481,8.5,22.5,-,-,2.1,1.5
＜ビスケット類＞　クラッカー　ソーダクラッカー,421,10.4,9.8,-,-,2.1,1.9
＜ビスケット類＞　サブレ,459,-6.1,-16.6,-77.2,-71.7,-1.3,-0.2
＜ビスケット類＞　中華風クッキー,513,-5.1,-29.5,-65.2,-60.7,-1.1,-0.2
＜ビスケット類＞　ビスケット　ハードビスケット,422,7.6,10,78,71.9,2.3,0.8
＜ビスケット類＞　ビスケット　ソフトビスケット,512,5.7,27.6,-72.6,-67,1.4,0.6
＜ビスケット類＞　プレッツェル,465,9.9,18.6,-,-,2.6,1.9
＜ビスケット類＞　リーフパイ,558,5.8,35.5,-59.1,-53.9,1.7,0.1
＜ビスケット類＞　ロシアケーキ,486,-5.8,-23.4,-67.8,-63.3,-1.8,-0.5
